凌寒	Ling Han
创造级	creation-grade
羽蛇神	Plumed Serpent God
神血	blood of a divinity
非洲	Alkebulan Underworlds
地府大战	great war of the netherword
西川	Westriver Province
三星堆	Three Star Mound
阴差形态	Hell's Emissary state
烛龙	Aurogon
孟婆	Granny Meng
十八地狱	18 abysses of punishment
六道	six paths of reincarnation
苏妲	Su Daji
秦侩	Qin Hui
大理寺	Imperial Court of Judicial Review
慎刑司	Department of Prudence
天岩户	Amano-Iwato
贵方省	Rich Province
王兽	monarch beast
阴灵	Yin spirit
周瑜	Zhou Yu
十二天罗	twelve envoys
刘裕	Liu Yu
身毒大使	official of Sindhu
高渐离	Gao Jianli
吕蒙	Lü Meng
吕子明	Lü Ziming
谛听	Harken
王成浩	Wang Chenghao
鲁班	Lu Ban
吴道子	Wu Daozi
暴风城	Stormwind City
高长恭	Gao Changgong
大秦王朝	Qin Dynasty
业火神弩	Karmic Fire Divine Crossbows
杨继业	Yang Jiye
吕宋王	Lord of Luzon
圣旨	imperial edict
希腊地府	Argosian Underworld
塔纳托斯	Thanatos
修普诺斯	Hypnos
艾亚哥斯	Aeacus
米诺斯	Minos
拉达曼迪斯	Rhadamanthus
印度地府	Hindustani Underworld
禁术不扩散条约	treaty on the non-proliferation of forbidden arts
华国地府	Cathayan Underworld
不扩散	treaty on the non-proliferation of forbidden arts
神弃之地	forsaken land
阴符	Yin Talismans
李贞淑	Lee Jung-sook
中元节	Hungry Ghost Festival
权景浩	Kwon Kyung-ho
黄家土楼	Huang Clan's earthen building
百鬼夜行	Dusk Legionnaire
刘昌闵	Ryu Changmin
韩国	Daehan
华国	Cathay
灵体	spiritual body
楚人美	Chu Renmei
黄宝坤	Huang Baokun
拆迁	demolition and relocation
黄建森	Huang Jiansen
十恶不赦	irredeemably heinous
太岁	Taisui fungus
护国神卫	Divine Protectors of the country
明妃	Karmamudrā
降魔杵	evil-subduing pestle
卜万田	Bu Wantian
桃花源	Peach Blossom Spring
阴羽	darkfeathers
九州正神结界	Array of the Nine Gods
万宝池	Myriad Treasure Pond
河洛九宫八卦图	Nine Palaces Eight Trigrams Diagram
撼灵堂	Hall of Tremors
莫长浩	Mo Changhao
大狱丸	Otakemaru
叶星辰	Ye Xingchen
女娲	Nüwa
后土娘娘	Goddess Earth Mother
曜变天目碗	Obsidian Heaven’s Eye Bowl
八尺镜	Yata no Kagami
齐女	Qi Nü
轩辕不死印	Yellow Emperor Protector Seal
冥王冥后	Mictlantecutli and Mictetikasiwa
二代	second King Yanluo
日本地府	Nipponese Underworld
东大寺	Tōdai-ji
秦长信	Qin Changxin
伊邪那美	Izanami
素盏鸣尊	Susanoo-no-Mikoto
怀石料理	kaiseki-ryōri
华国	Cathayan Underworld
汤恩娜	Tanvana
奇尔汀	Giltine
耶梦加德	Jörmungandr
北欧	Northern Europa
素盏明尊	Susanoo-no-Mikoto
维拉科查	Viracocha
埃及	Aegyptian Underworld
阿基米德	Archimedes
冥后	Mictetikasiwa
伯爵	Count
特斯卡	Tezcatlipoca
烟雾镜	Tezcatlipoca
阿空加瓜峰	Aconcagua
希帕克特里	Cipactli
朗基努斯	Spear of Longinus
格洛里亚教堂	Gloria Dei Old Swedes Episcopal Church
江崎玲於奈	Reona Esaki
天启大辩论	Great Revelation Debate
二代禁术	second-generation forbidden arts
启动模组	startup module
汤川秀树	Hideki Yukawa
蒋秘书	Secretary Jiang
知更鸟	messgenger bird
布政使	administrative commisioner
城隍庙	City God Temple
轩辕剑主	Sword Master Xuanyuan
地藏	Ksitigarbha
钱多来	Qian Duolai
祖冲之	Zu Chongzhi
公格尔峰	Kongur Tagh
水电站	hydroelectric power station
羲和	Xi He Retirement Home
姚泾明	Yao Jingming
世能研	World Energy Resource Research Organization
伊帕密浓达	Epaminondas
无名死神	nameless god of death
圣安东尼	Archbishop Antonio
藤井平八郎	Heihachiro Fujii
圣宝	Sacred Treasure Consortium
米克特兰提库特里	Mictlantecutli
冥王	Mictlantecutli
阴宙系	Yin Space River
库库尔坎	Quetzalcoatl
坎昆	Cancún
吉得宝	Tepoztli
黑白无常	Black and White Anitya Hellguards
东方明珠	Oriental Pearl Television Tower
大人	Your Excellency
拱手	cupped his fist in a salute
阴差	underworld emissary
阴阳裂缝	Yin Yang Mezzanine
妖鬼仙	demonic ghostly immortals
铁浮屠	heavy cavalry units
万魂塔	Myriad Soul Pagoda
沈田子	Thẩm Điền Tử
朱龄石	Chu Linh Thạch
王镇恶	Vương Trấn Ác
剑礁	Sword Coral Research Institute
阴山格物院	Yin Mountains Research Institute
恭弥	Iwasaki Kyouya
本一郎	Iwasaki Ichiro
竹茂楼	Takeshigerou
岩崎弥太郎	Iwasaki Yatarō
比良坂	Nipponese Underworld
水蛭子	Hiruko
高天原	Takamagahara
歌山三段壁	Sandanbeki Rock Cliff
青木原树海	Aokigahara
天逆每	Amanozako
本多忠胜	Honda Tadakatsu
羽泽城	Feathersheen City
德川家康	Tokugawa Ieyasu
神原康正	Sakakibara Yasumasa
亚太经合会	Asia-Pacific Economic Development Conference
北条时宗	Hōjō Tokimune
丰臣秀吉	Toyotomi Hideyoshi
足利义昭	Ashikaga Yoshiaki
川岛琢磨	Kawashima Takuma
玉藻前	Tamamo-no-Mae
八岐大蛇	Yamata no Orochi
宏野吉泽	Yoshizawa Hiroshi
前田利家	Maeda Toshiie
毛利辉元	Mōri Terumoto
二口女	Futakuchi-onna
大菩提寺	Mahabodhi Temple
阴摩罗	Onmoraki
轮入道	Wanyūdō
耶梦加得	Jörmungandr
天之御中	Minakanushi
烧瓷	pottery firing
朝廷	imperial court
官员	officials
官窑	official kiln
官窑	imperial ware
拉坯	pottery molding
言官	imperial censors
丫鬟	maidservant
贴身丫鬟	personal maidservant
锦衣	brocade robe, brocade-robed
宋集薪	Song Jixin
钱	qian	when referring to silver, one qian is 1/16 of a tael (两)
蛇类	ophidian
四脚蛇	four-legged snake
杏花巷	Apricot Blossom Alley
铁锁井	Iron Lock Well
刘阳羡	Liu Xianyang
大学士	grand secretary
龙窑	dragon kiln
草鞋	straw sandals
玉如意	jade scepter
摸骨	scapulimancy
陈平安	Chen Ping'an
泥瓶巷	Clay Vase Alley
稚圭	Zhi Gui
虬	drake
螭	hornless dragon
蛟	flood dragon
卢正淳	Lu Zhengchun
剑经	sword scripture
宝甲	prized armor
正阳山	Sun Scorch Mountain
廊桥	covered bridge
根骨	aptitude for cultivation
肉眼可见	at a rate disciernible to the naked eye
玄术	profound arts
道法	dao powers
披云山	Cloud Drape Mountain
赵繇	Zhao Yao
紫金	violet gold
顾粲	Gu Can
嫡传弟子	direct disciple
开宗之祖	sect-founding patriarch
下宗	lower sect
云霞山	Dawn Cloud Mountain
云根石	Cloud Root Stone
老龙城	Old Dragon City
蔡金简	Cai Jinjian
苻南华	Fu Nanhua
丹鼎派	alchemy branch of daoism
官话	official dialect
机缘	fated opportunity
齐先生	Mr. Qi
福禄街	Fortune Street
齐静春	Qi Jingchun
大真人	enlightened saints
诸子百家	Hundred Schools of Thought
陆地神仙	terrestrial gods	could be subject to change depending on future context revealed
印章	seal
小千世界	small thousandfold worlds
受教	I humbly accept your teachings
有失身份	unbefitting of someone's status
玉圭	jade tablet
镇圭	regal tablet
金精	gold essence
锦衣少年	brocade-robed boy
暗器	hidden weapon
弋阳郡	Yiyang County
大隋	Great Sui Nation
大宗师	Superior Grandmaster
小宗师	Lesser Grandmaster
高稹	Gao Zhen
大貂寺	chief eunuchs
六科	six supervisory divisions
大骊	Great Li Empire
御马监	Directorate of Imperial Horses
掌印太监	Seal Holding Eunuch
宦官	eunuch
山崖书院	Mountain Cliff Academy
国师	imperial preceptor
桃叶巷	Peach Leaf Alley
浑厚	deep and resonant	when describing voices
邛让	Ruan Qiong
牌坊	archway
碎银	loose silver
槐树	locust tree
槐叶	locust leaf
儒士	scholar
少年	young boy
小镇	small town
中年	middle-aged
根骨	aptitude
东宝瓶洲	Eastern Treasured Vial Continent
大隋王朝	Great Sui Nation
圣人	sage
买瓷人	porcelain buyers
本命瓷	bonded porcelain
瓷镇	porcelain paperweight
舍不得	reluctant
儒家	Confucianism
刘志茂	Liu Zhimao
姚老头	Old Man Yao
说书先生	storyteller
祖荫	ancestral blessing
陆道长	Daoist Lu
铁匠	blacksmith
东宝瓶洲	Eastern Treasured Vial Continent
三教	three teachings
教义	doctrine
道行	Dao foundation
陆沉	Lu Chen
陆道人	Daoist Lu
桃芽	Tao Ya
赶紧	hurriedly
墙外书	Beyond the Wall
曹曦	Cao Xi
县志	Local County Chronicle
婢女	maidservant
谢实	Xie Shi
乡塾	private school
琉璃	colored glaze
宁姚	Ning Yao
真君	True Lord
仙长	Immortal Elder
顾氏	Mrs. Gu
书简湖	Lake Shujian
止境	Halted Realm
神通	mystical power
青峡岛	Cyan Gorge Island
金精铜钱	gold essence copper coins
玉簪子	jade hairpin
小楷	compact script
南涧国	Southern Stream Nation
倒悬山	Stalactite Mountain
道人	Daoist priest
道人	Daoist priest
顽劣	unruly
顽劣	naughty
顽劣	mischievous
顽劣	stubborn
陶罐	clay pot
泥鳅	loach
院子	courtyard
外乡人	outsider
厉色	stern
谄媚	obsequious
谄媚	toadying
铜钱	copper coin
哭笑不得	didn't know whether to laugh or to cry
无常	Reaper of Impermanence
老龙布雨	Old Dragon Rainbringer
门神	door god
春联	couplets
茫然	baffled
放心	relieved
放心	at ease
呜咽	whimper
呜咽	sob
愣	falter
玉簪	jade hairpin
供养钱	Offering Coins
迎春钱	Greeting Spring Coins
压胜钱	Good Fortune Coins
药方	prescription
真人	Spiritual Master
柱国	pillar general
开门	precursor
登堂	beginning
入室	journey
精气神	energy, essence, and spirit
道家真君	True Lord of Daoism
少女	young woman
少女	young girl
笑道	smiled and replied
窑工	potter
杨家铺子	Yang Family's medicine shop
秘方	secret recipe
嘀咕	mumble
嘀咕	grumble
圣人	Saint
圣贤	Sage
圣人	Sage
武道九境	nine tiers of martial arts
武夫	martial artist
龙门境	Dragon Gate Tier
中五境	Middle Five Tiers
沙哑	hoarse
失落	dejected
失落	downcast
失落	despondent
佛陀	Buddha
儒家至圣	Confucius
心虚	guilty
心虚	diffident
阮师傅	Master Ruan
御风	Windsoar Tier
远游	Windsoar Tier
领养钱	adoption money
南海	South Sea
心誓	cardinal vow
清风城	Light Breeze City
瘊子甲	scaly armor
水榭	lakeside pavilion	lakeside in the particular context it's appeared in for me, could be riverside pavilion or just waterside pavilion in general
入室弟子	in-house disciple
藩王	monarch
宋长镜	Song Changjing
搬山老猿	Mountain-moving Ape
风雷园	Wind Lightning Field
文庙	Confucian temple
陪祭	accompanying officiant
陶魁	Tao Kui
纯阳剑祖	Pure Yang Sword Patriarch
督造官衙署	office of the kiln supervision official
督造官	kiln supervision official
衙署	office
门房	porter
观湖书院	Lake View Academy
大雍王朝	Great Yong Empire
龙尾郡	Dragon Tail County
刘灞桥	Liu Baqiao
野修	vagrant cultivator
陈松风	Chen Songfeng
白猿	Bai Yuan
崔明皇	Cui Minghuang
管事	steward
阮邛	Ruan Qiong
宁姑娘	Ning Yao
四大姓	four major clans
匾额	plaque
答非所问	sidestepped the question
答非所问	answered evasively
答非所问	gave an irrelevant answer
巍峨	majestic
白虎	White Tiger
王朱	Wang Zhu
卢家	Lu Clan
沧桑	vicissitudes
嗤笑	sneer
泥塑	clay statue
财迷	miser
帷帽	veiled hat
剑鞘	scabbard
嫌弃	disdain
嫌弃	dislike
小溪	creek
蛇胆石	snake gall pebbles
簪子	hairpin
算命先生	fortune teller
石子	pebble
青色石崖	green stone cliff
石板鱼	rock slate fish
谢家老祖	Patriarch Xie
掌柜	shopkeeper
阮秀	Ruan Xiu
秀儿	Xiu'er
元神	soul
心不在焉	absent-minded
马婆婆	Granny Ma
傻子	retard	for Ma Kuxuan
读书人	intellectual
树墩	tree stump
腼腆	bashful
腼腆	shy
青石板	bluestone slab
皇宫	imperial palace
哭丧	sullen
宋大人	Master Song
晦涩	obscure
大礼	Grand Etiquette
修身篇	Self-Cultivation Chapter
云淡风轻	nonchalant
刘羡阳	Liu Xianyang
丹阳山口	Danyang Mountain Pass
刘临溪	Liu Linxi
隋朝	Great Sui Empire
高氏	Gao Clan
宋氏	Song Clan
宋家	Song Clan
心烦	agitated
心烦	annoyed
压裙刀	skirt dagger
石敢当	shi gandang
陶紫	Tao Zi
捕蛇鹰	snake hunting hawk
李虹	Li Hong
炼气士	qi refiner
子孙槐	descendant locust tree
青牛背	Azure Cow Ridge	Azure Cow Ridge
白猿爷爷	Grandpa Yuan
李家	Li Clan
卢氏	Lu Clan
道姑	Daoist nun
法器	immortal tool
法宝	immortal treasure
法术	spell technique
法力	immortal powers
法门	immortal formulation
甘草	licorice root
许家	Xu Clan
小姐	Young Mistress
上五境	Upper Five Tiers
风生水起	Rising Winds Crashing Water	for the plaque on the bridge
青石	bluestone slab
神仙	immortal
陈氏	Chen Clan
黄油纸	parchment paper
撼山	Mountain Shaking
撼山谱	Mountain Shaking Guide
敷衍	perfunctory
玉玺	jade seal
福地	blessed land
符剑	talismanic sword
陈对	Chen Dui
楼	Tier	for cultivation tiers, i.e. Sixth Tier
江湖	cultivation world
截江真君	River Severing True Lord
拳谱	fist technique
十境	10th Tier
棋待诏	Go official
绣虎	Embroidered Tiger
炼体境	Physique Refining Tier
天劫	tribulation
雷劫液	Lightning Tribulation Fluid
圆满	consummate	For Ascending Origin Tier
炼气	Qi Refining Tier
炼体	Physique Refining Tier
炼神	Spirit Refining Tier
炼体三境	three tiers of the Physique Refining Tier
气	Qi
武道	martial arts
悟性	comprehension ability
木胎境	Wooden Fetus Tier
水银镜	Mercury Tier
泥菩萨过江	Mud Deity Crossing the River	name for tribulation
窍穴	acupoint
读书人	scholar
玉牌	jade tablet
书院	academy
护经师	Dharmapala
静心得意	Tranquil Mind Begets Enlightenment
陈十一	Chen Shiyi
龙兴之地	origin of a dynasty
符箓	talisman
锁龙井	Dragon Locking Well
深潭	deep pool	under the covered bridge
百家	hundred schools of thought
师侄	Martial Nephew, Martial Niece
道冠	Daoist hat
小女孩	little girl
贺小凉	He Xiaoliang
金童玉女	Golden Boy and Jade Girl	for the Daoist priest and nun
道家	Daoist Sect
马苦玄	Ma Kuxuan
真武山	True Martial Mountain
僧人	monk
苦行僧	ascetic monk
雷音塔	Thundering Pagoda
天师印	Heavenly Master Seal
小剑冢	Small Sword Resting Ground
兵家	Martial Sect
山岳玉牌	Mountain Range Jade Plate
儒家	Confucian Sect
压胜之物	subjugation treasures
武人	martial artist
万	tens of thousands
站桩	standing meditation
走桩	walking meditation
睡桩	sleeping meditation
元气	vital energy
元气	vigour
立桩	standing meditation
剑炉	Sword Furnace	for standing meditation
千秋	Eternity	for sleeping meditation
末法	degenerate age of Dharma
天师	Heavenly Master
护法	Dharmapala
大德	Bhadanta
水观心境	Observing Water Mental State
剑修	swordsman
拳意	fist intent
搬山猿	Mountain-moving Ape
。	Chen Ping'an	author is retarded
老猿	Bai Yuan
护山猿	Bai Yuan
本命	bonded
大骊藩王	Song Changjing
少女	Ning Yao
老杨头	Old Man Yang
敕令仪式	Edict Ceremony
